Insert,,,,,,,search,,,,,
LL A,LL B,BST A,BST B,Hash A,Hash B,,LL A,LL B,BST A,BST B,Hash A,Hash B
3.32E-06,1.22E-06,7.35E-05,7.83E-05,5.60E-07,3.21E-06,,4.06E-03,4.69E-03,5.17E-04,1.77E-03,8.96E-05,0.00014353
1.35E-06,1.63E-06,7.55E-05,7.98E-05,5.60E-07,3.21E-06,,4.15E-03,4.81E-03,5.18E-04,1.77E-03,8.96E-05,0.00014353
1.27E-06,1.10E-06,7.73E-05,8.08E-05,5.60E-07,3.21E-06,,4.25E-03,4.92E-03,5.19E-04,1.77E-03,8.96E-05,0.00014369
1.12E-06,1.13E-06,7.92E-05,8.20E-05,5.80E-07,3.23E-06,,4.34E-03,5.04E-03,5.20E-04,1.77E-03,8.96E-05,0.00014396
1.09E-06,1.65E-06,8.12E-05,8.32E-05,5.80E-07,3.23E-06,,4.43E-03,5.16E-03,5.21E-04,1.77E-03,8.96E-05,0.00014414
1.01E-06,1.02E-06,8.31E-05,8.43E-05,6.00E-07,3.23E-06,,4.53E-03,5.28E-03,5.22E-04,1.77E-03,8.96E-05,0.00014466
1.11E-06,1.18E-06,8.48E-05,8.54E-05,6.00E-07,3.25E-06,,4.61E-03,5.39E-03,5.23E-04,1.77E-03,8.96E-05,0.00014479
1.09E-06,1.07E-06,8.59E-05,8.64E-05,6.00E-07,3.25E-06,,4.71E-03,5.51E-03,5.24E-04,1.77E-03,8.96E-05,0.00014486
1.10E-06,1.07E-06,8.70E-05,8.76E-05,6.20E-07,3.27E-06,,4.80E-03,5.63E-03,5.25E-04,1.78E-03,8.96E-05,0.00014504
1.53E-06,1.07E-06,8.83E-05,8.88E-05,6.20E-07,3.27E-06,,4.90E-03,5.74E-03,5.26E-04,1.78E-03,8.96E-05,0.0001451
1.90E-06,1.01E-06,8.96E-05,8.99E-05,6.20E-07,3.27E-06,,5.00E-03,5.86E-03,5.27E-04,1.78E-03,8.96E-05,0.0001452
1.15E-06,1.07E-06,9.08E-05,9.10E-05,6.30E-07,3.29E-06,,5.09E-03,5.97E-03,5.28E-04,1.78E-03,8.96E-05,0.00014522
1.10E-06,1.07E-06,9.19E-05,9.21E-05,6.30E-07,3.29E-06,,5.19E-03,6.10E-03,5.29E-04,1.78E-03,8.96E-05,0.00014545
1.32E-06,1.07E-06,9.30E-05,9.41E-05,6.50E-07,3.31E-06,,5.28E-03,6.21E-03,5.30E-04,1.78E-03,8.96E-05,0.00014545
1.16E-06,1.01E-06,9.41E-05,9.68E-05,6.50E-07,3.31E-06,,5.38E-03,6.33E-03,5.31E-04,1.78E-03,8.96E-05,0.00014545
1.11E-06,1.54E-06,9.52E-05,1.12E-04,6.50E-07,3.31E-06,,5.47E-03,6.44E-03,5.32E-04,1.78E-03,8.96E-05,0.00014568
2.34E-06,1.37E-06,9.63E-05,1.14E-04,6.70E-07,3.33E-06,,5.57E-03,6.56E-03,5.33E-04,1.78E-03,8.96E-05,0.00014578
2.22E-06,1.08E-06,9.75E-05,1.17E-04,6.70E-07,3.33E-06,,5.66E-03,6.67E-03,5.34E-04,1.78E-03,8.96E-05,0.00014578
2.13E-06,1.57E-06,9.89E-05,1.19E-04,6.90E-07,3.35E-06,,5.75E-03,6.79E-03,5.35E-04,1.79E-03,8.96E-05,0.00014578
2.05E-06,1.17E-06,1.00E-04,1.22E-04,9.60E-07,3.35E-06,,5.84E-03,6.90E-03,5.36E-04,1.79E-03,8.96E-05,0.00014585
2.12E-06,1.08E-06,1.02E-04,1.24E-04,9.60E-07,3.35E-06,,5.93E-03,7.01E-03,5.37E-04,1.79E-03,8.96E-05,0.00014591
2.15E-06,1.16E-06,1.04E-04,1.27E-04,9.80E-07,3.37E-06,,6.01E-03,7.13E-03,5.38E-04,1.79E-03,8.96E-05,0.00014603
2.15E-06,1.06E-06,1.06E-04,1.29E-04,9.80E-07,3.38E-06,,6.11E-03,7.24E-03,5.39E-04,1.79E-03,8.96E-05,0.00014603
2.02E-06,1.01E-06,1.07E-04,1.32E-04,1.00E-06,3.40E-06,,6.21E-03,7.35E-03,5.40E-04,1.79E-03,8.96E-05,0.00014603
2.17E-06,1.14E-06,1.09E-04,1.35E-04,1.00E-06,3.40E-06,,6.30E-03,7.47E-03,5.41E-04,1.79E-03,8.96E-05,0.0001461
2.12E-06,1.08E-06,1.11E-04,1.38E-04,1.00E-06,3.40E-06,,6.40E-03,7.58E-03,5.42E-04,1.79E-03,8.96E-05,0.0001461
2.23E-06,1.06E-06,1.12E-04,1.40E-04,1.02E-06,3.41E-06,,6.50E-03,7.69E-03,5.43E-04,1.79E-03,8.96E-05,0.00014616
2.18E-06,1.07E-06,1.14E-04,1.43E-04,1.02E-06,3.41E-06,,6.59E-03,7.81E-03,5.44E-04,1.79E-03,8.96E-05,0.00014623
2.04E-06,1.02E-06,1.16E-04,1.46E-04,1.02E-06,3.41E-06,,6.68E-03,7.92E-03,5.45E-04,1.80E-03,8.96E-05,0.00014636
2.19E-06,1.06E-06,1.18E-04,1.49E-04,1.04E-06,3.42E-06,,6.77E-03,8.03E-03,5.46E-04,1.80E-03,8.96E-05,0.00014653
2.13E-06,1.06E-06,1.19E-04,1.51E-04,1.04E-06,3.42E-06,,6.86E-03,8.14E-03,5.47E-04,1.80E-03,8.96E-05,0.00014653
2.17E-06,1.09E-06,1.21E-04,1.54E-04,1.06E-06,3.44E-06,,6.95E-03,8.25E-03,5.48E-04,1.80E-03,8.96E-05,0.00014653
2.17E-06,1.09E-06,1.23E-04,1.57E-04,1.06E-06,3.44E-06,,7.05E-03,8.37E-03,5.49E-04,1.80E-03,8.96E-05,0.00014653
2.15E-06,1.03E-06,1.25E-04,1.60E-04,1.06E-06,3.44E-06,,7.14E-03,8.48E-03,5.50E-04,1.80E-03,8.96E-05,0.00014653
2.13E-06,1.08E-06,1.26E-04,1.63E-04,1.08E-06,3.46E-06,,7.22E-03,8.59E-03,5.51E-04,1.80E-03,8.96E-05,0.00014653
2.12E-06,1.08E-06,1.28E-04,1.65E-04,1.08E-06,3.46E-06,,7.31E-03,8.70E-03,5.52E-04,1.80E-03,8.96E-05,0.00014666
3.18E-06,1.07E-06,1.30E-04,1.67E-04,1.10E-06,3.47E-06,,7.41E-03,8.82E-03,5.53E-04,1.80E-03,8.96E-05,0.00014666
1.08E-06,1.01E-06,1.32E-04,1.69E-04,1.10E-06,3.47E-06,,7.50E-03,8.93E-03,5.54E-04,1.81E-03,8.96E-05,0.00014666
1.19E-06,1.07E-06,1.33E-04,1.72E-04,1.10E-06,3.47E-06,,7.59E-03,9.04E-03,5.55E-04,1.81E-03,8.96E-05,0.00014666
1.08E-06,1.21E-06,1.35E-04,1.74E-04,1.12E-06,3.49E-06,,7.68E-03,9.15E-03,5.56E-04,1.81E-03,8.96E-05,0.00014666
1.07E-06,1.06E-06,1.37E-04,1.77E-04,1.12E-06,3.49E-06,,7.78E-03,9.28E-03,5.57E-04,1.81E-03,8.96E-05,0.00014666
1.07E-06,1.06E-06,1.39E-04,1.79E-04,1.13E-06,3.50E-06,,7.87E-03,9.40E-03,5.58E-04,1.81E-03,8.96E-05,0.00014666
1.01E-06,1.01E-06,1.40E-04,1.82E-04,1.13E-06,3.50E-06,,7.96E-03,9.52E-03,5.59E-04,1.81E-03,8.96E-05,0.00014667
1.07E-06,1.06E-06,1.42E-04,1.87E-04,1.13E-06,3.50E-06,,8.05E-03,9.65E-03,5.60E-04,1.81E-03,8.96E-05,0.00014667
1.20E-06,1.06E-06,1.44E-04,1.89E-04,1.15E-06,3.52E-06,,8.14E-03,9.79E-03,5.61E-04,1.81E-03,8.96E-05,0.00014667
1.07E-06,1.06E-06,1.46E-04,1.91E-04,1.15E-06,3.52E-06,,8.23E-03,9.94E-03,5.62E-04,1.81E-03,8.96E-05,0.00014674
1.01E-06,1.01E-06,1.47E-04,1.93E-04,1.16E-06,3.54E-06,,8.32E-03,1.01E-02,5.63E-04,1.81E-03,8.96E-05,0.00014674
1.07E-06,1.06E-06,1.48E-04,1.96E-04,1.16E-06,3.54E-06,,8.41E-03,1.02E-02,5.64E-04,1.82E-03,8.96E-05,0.00014674
1.08E-06,1.06E-06,1.49E-04,1.98E-04,1.16E-06,3.54E-06,,8.50E-03,1.03E-02,5.65E-04,1.82E-03,8.96E-05,0.00014686
1.07E-06,1.06E-06,1.51E-04,2.00E-04,1.18E-06,3.56E-06,,8.58E-03,1.04E-02,5.66E-04,1.82E-03,8.96E-05,0.00014699
1.17E-06,1.06E-06,1.53E-04,2.02E-04,1.18E-06,3.56E-06,,8.67E-03,1.06E-02,5.67E-04,1.82E-03,8.96E-05,0.00014708
1.17E-06,1.01E-06,1.54E-04,2.04E-04,1.18E-06,3.56E-06,,8.76E-03,1.07E-02,5.68E-04,1.82E-03,8.96E-05,0.00014708
1.09E-06,1.06E-06,1.55E-04,2.06E-04,1.20E-06,3.57E-06,,8.85E-03,1.08E-02,5.69E-04,1.82E-03,8.96E-05,0.00014708
1.28E-06,1.13E-06,1.56E-04,2.08E-04,1.20E-06,3.57E-06,,8.94E-03,1.09E-02,5.70E-04,1.82E-03,8.96E-05,0.00014708
1.20E-06,1.11E-06,1.57E-04,2.10E-04,1.22E-06,3.58E-06,,9.04E-03,1.11E-02,5.71E-04,1.82E-03,8.96E-05,0.00014715
1.01E-06,1.01E-06,1.58E-04,2.12E-04,1.22E-06,3.58E-06,,9.13E-03,1.12E-02,5.72E-04,1.82E-03,8.96E-05,0.00014732
1.22E-06,1.09E-06,1.59E-04,2.16E-04,1.22E-06,3.58E-06,,9.22E-03,1.13E-02,5.73E-04,1.82E-03,8.96E-05,0.00014753
1.09E-06,1.08E-06,1.60E-04,2.18E-04,1.24E-06,3.60E-06,,9.31E-03,1.14E-02,5.74E-04,1.83E-03,8.96E-05,0.00014759
1.29E-06,1.23E-06,1.61E-04,2.21E-04,1.24E-06,3.60E-06,,9.40E-03,1.15E-02,5.75E-04,1.83E-03,8.96E-05,0.00014759
1.24E-06,1.06E-06,1.62E-04,2.24E-04,1.26E-06,3.62E-06,,9.50E-03,1.16E-02,5.76E-04,1.83E-03,8.96E-05,0.00014759
1.01E-06,1.05E-06,1.63E-04,2.26E-04,1.26E-06,3.62E-06,,9.59E-03,1.17E-02,5.77E-04,1.83E-03,8.96E-05,0.00014775
1.07E-06,1.07E-06,1.64E-04,2.30E-04,1.26E-06,3.62E-06,,9.68E-03,1.18E-02,5.78E-04,1.83E-03,8.96E-05,0.00014775
1.11E-06,1.06E-06,1.65E-04,2.37E-04,1.28E-06,3.64E-06,,9.77E-03,1.19E-02,5.79E-04,1.83E-03,8.96E-05,0.00014775
1.08E-06,1.06E-06,1.66E-04,2.40E-04,1.28E-06,3.64E-06,,9.86E-03,1.20E-02,5.80E-04,1.83E-03,8.96E-05,0.00014786
1.07E-06,1.06E-06,1.68E-04,2.45E-04,1.30E-06,3.66E-06,,9.94E-03,1.21E-02,5.81E-04,1.83E-03,8.96E-05,0.00014808
1.05E-06,1.01E-06,1.69E-04,2.48E-04,1.30E-06,3.66E-06,,1.00E-02,1.23E-02,5.82E-04,1.83E-03,8.96E-05,0.0001482
1.12E-06,1.06E-06,1.70E-04,2.50E-04,1.30E-06,3.66E-06,,1.01E-02,1.24E-02,5.83E-04,1.84E-03,8.96E-05,0.00014833
1.07E-06,1.06E-06,1.71E-04,2.53E-04,1.32E-06,3.67E-06,,1.02E-02,1.25E-02,5.84E-04,1.84E-03,8.96E-05,0.00014839
1.19E-06,1.07E-06,1.72E-04,2.56E-04,1.32E-06,3.67E-06,,1.03E-02,1.26E-02,5.85E-04,1.84E-03,8.96E-05,0.00014843
1.01E-06,1.01E-06,1.73E-04,2.59E-04,1.34E-06,3.67E-06,,1.04E-02,1.27E-02,5.86E-04,1.84E-03,8.96E-05,0.00014843
1.07E-06,1.06E-06,1.74E-04,2.61E-04,1.34E-06,3.68E-06,,1.05E-02,1.28E-02,5.87E-04,1.84E-03,8.96E-05,0.00014843
1.11E-06,1.06E-06,1.75E-04,2.64E-04,1.34E-06,3.68E-06,,1.06E-02,1.29E-02,5.88E-04,1.84E-03,8.96E-05,0.00014861
1.07E-06,1.07E-06,1.76E-04,2.67E-04,1.36E-06,3.69E-06,,1.06E-02,1.30E-02,5.89E-04,1.84E-03,8.96E-05,0.00014873
1.07E-06,1.06E-06,1.77E-04,2.70E-04,1.36E-06,3.69E-06,,1.07E-02,1.31E-02,5.90E-04,1.84E-03,8.96E-05,0.0001489
1.14E-06,1.01E-06,1.78E-04,2.72E-04,1.36E-06,3.69E-06,,1.08E-02,1.32E-02,5.91E-04,1.85E-03,8.96E-05,0.00014913
1.15E-06,1.06E-06,1.79E-04,2.75E-04,1.38E-06,3.70E-06,,1.09E-02,1.33E-02,5.92E-04,1.85E-03,8.96E-05,0.00014923
