A,linear ,,,,A,quadratic,,,,A,chaining,,,,B,linear ,,,,B,quadratic,,,,B,chaining,,
insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search,,insert,search,Insert,search
1.36E-06,0.0001163,25,10,,1.44E-06,8.96E-05,25,10,,1.04E-06,4.36E-06,22,8,,2.03E-06,0.00013277,19,3,,3.74E-06,0.00015032,20,12,,1.53E-06,4.32E-06,18,0
1.36E-06,0.0001163,29,24,,1.44E-06,8.96E-05,30,18,,1.05E-06,4.36E-06,27,14,,2.03E-06,0.00013277,18,2,,4.00E-06,0.00015054,19,0,,1.53E-06,4.32E-06,13,0
1.38E-06,0.0001163,29,19,,1.44E-06,8.96E-05,29,12,,1.05E-06,4.36E-06,26,9,,2.05E-06,0.00013277,25,3,,4.00E-06,0.00015067,24,2,,1.55E-06,4.32E-06,21,0
1.38E-06,0.0001163,38,25,,1.47E-06,8.96E-05,39,22,,1.07E-06,4.36E-06,34,18,,2.05E-06,0.00013277,30,14,,4.18E-06,0.00015067,32,13,,1.55E-06,4.32E-06,28,0
1.38E-06,0.0001163,25,11,,1.47E-06,8.96E-05,22,9,,1.07E-06,4.36E-06,18,5,,2.05E-06,0.00013277,23,0,,4.20E-06,0.00015067,25,0,,1.57E-06,4.32E-06,21,0
1.40E-06,0.0001163,32,11,,1.49E-06,8.96E-05,31,11,,1.07E-06,4.36E-06,27,5,,2.07E-06,0.00013277,22,5,,4.24E-06,0.00015077,21,5,,1.57E-06,4.32E-06,19,0
1.40E-06,0.0001163,25,9,,1.49E-06,8.96E-05,25,9,,1.09E-06,4.36E-06,18,5,,2.07E-06,0.00013277,26,2,,4.43E-06,0.00015078,26,1,,1.57E-06,4.32E-06,24,0
1.40E-06,0.0001163,27,3,,1.49E-06,8.96E-05,27,3,,1.09E-06,4.36E-06,27,2,,2.09E-06,0.00013277,29,4,,4.56E-06,0.00015093,29,5,,1.59E-06,4.32E-06,25,0
1.42E-06,0.0001163,35,8,,1.51E-06,8.96E-05,35,5,,1.10E-06,4.36E-06,30,3,,2.09E-06,0.00013277,29,24,,4.56E-06,0.00015122,28,24,,1.59E-06,4.32E-06,23,0
1.42E-06,0.0001163,33,15,,1.51E-06,8.96E-05,30,20,,1.10E-06,4.36E-06,26,8,,2.09E-06,0.00013277,27,9,,4.88E-06,0.00015122,25,6,,1.61E-06,4.32E-06,22,0
1.44E-06,0.0001163,29,5,,1.51E-06,8.96E-05,30,6,,1.10E-06,4.36E-06,24,4,,2.11E-06,0.00013277,25,4,,5.06E-06,0.00015132,24,4,,1.61E-06,4.32E-06,22,0
1.44E-06,0.0001163,31,18,,1.53E-06,8.96E-05,29,14,,1.12E-06,4.36E-06,24,11,,2.11E-06,0.00013277,29,7,,5.27E-06,0.00015133,30,7,,1.61E-06,4.32E-06,25,0
1.44E-06,0.0001163,39,19,,1.53E-06,8.96E-05,40,18,,1.12E-06,4.36E-06,35,9,,2.13E-06,0.00013277,27,4,,5.64E-06,0.00015142,26,2,,1.63E-06,4.32E-06,24,0
1.46E-06,0.0001163,33,18,,1.55E-06,8.96E-05,35,13,,1.12E-06,4.36E-06,30,6,,2.13E-06,0.00013277,26,0,,5.64E-06,0.00015152,26,4,,1.63E-06,4.32E-06,21,0
1.46E-06,0.0001163,31,9,,1.55E-06,8.96E-05,33,9,,1.14E-06,4.36E-06,25,7,,2.13E-06,0.00013277,23,2,,5.64E-06,0.00015152,24,1,,1.64E-06,4.32E-06,20,0
1.48E-06,0.0001163,30,1,,1.55E-06,8.96E-05,28,1,,1.14E-06,4.36E-06,24,1,,2.15E-06,0.00013277,31,3,,5.66E-06,0.00015152,32,4,,1.64E-06,4.32E-06,24,0
1.48E-06,0.0001163,33,12,,1.57E-06,8.96E-05,35,10,,1.16E-06,4.36E-06,29,4,,2.15E-06,0.00013277,22,0,,5.66E-06,0.00015152,21,0,,1.64E-06,4.32E-06,19,0
1.48E-06,0.0001163,31,30,,1.57E-06,8.96E-05,31,32,,1.16E-06,4.36E-06,24,9,,2.15E-06,0.00013277,28,10,,5.81E-06,0.0001516,31,6,,1.65E-06,4.32E-06,27,0
1.50E-06,0.0001163,39,11,,1.59E-06,8.96E-05,41,9,,1.16E-06,4.36E-06,36,5,,2.17E-06,0.00013277,23,4,,5.81E-06,0.0001516,24,3,,1.65E-06,4.32E-06,19,0
1.50E-06,0.0001163,38,10,,1.59E-06,8.96E-05,38,9,,1.17E-06,4.36E-06,31,9,,2.17E-06,0.00013277,28,4,,6.05E-06,0.00015165,27,3,,1.65E-06,4.32E-06,26,0
1.52E-06,0.0001163,31,16,,1.59E-06,8.96E-05,31,20,,1.17E-06,4.36E-06,25,10,,2.19E-06,0.00013277,25,0,,6.28E-06,0.00015165,27,0,,1.66E-06,4.32E-06,23,0
1.52E-06,0.0001163,25,19,,1.61E-06,8.96E-05,27,15,,1.18E-06,4.36E-06,21,10,,2.19E-06,0.00013277,21,5,,6.61E-06,0.00015186,21,5,,1.66E-06,4.32E-06,16,0
1.52E-06,0.0001163,44,13,,1.61E-06,8.96E-05,44,15,,1.18E-06,4.36E-06,36,9,,2.19E-06,0.00013277,20,18,,6.76E-06,0.00015186,22,4,,1.68E-06,4.32E-06,18,0
1.54E-06,0.0001163,37,28,,1.63E-06,8.96E-05,35,26,,1.18E-06,4.36E-06,32,13,,2.20E-06,0.00013277,18,8,,6.82E-06,0.00015187,19,4,,1.68E-06,4.32E-06,16,0
1.54E-06,0.0001163,45,19,,1.63E-06,8.96E-05,46,16,,1.19E-06,4.36E-06,32,11,,2.20E-06,0.00013277,22,16,,7.08E-06,0.00015199,29,11,,1.68E-06,4.32E-06,17,0
1.55E-06,0.0001163,36,19,,1.63E-06,8.96E-05,38,15,,1.19E-06,4.36E-06,33,11,,2.22E-06,0.00013277,23,16,,7.16E-06,0.00015199,24,1,,1.69E-06,4.32E-06,18,0
1.55E-06,0.0001163,37,9,,1.65E-06,8.96E-05,40,6,,1.21E-06,4.36E-06,30,4,,2.22E-06,0.00013277,18,2,,7.28E-06,0.00015199,22,0,,1.69E-06,4.32E-06,17,0
1.55E-06,0.0001163,44,6,,1.65E-06,8.96E-05,40,6,,1.21E-06,4.36E-06,32,6,,2.22E-06,0.00013277,14,9,,7.36E-06,0.00015199,16,2,,1.71E-06,4.32E-06,12,0
1.57E-06,0.0001163,32,13,,1.67E-06,8.96E-05,33,14,,1.21E-06,4.36E-06,27,6,,2.24E-06,0.00013277,19,6,,7.42E-06,0.00015199,19,6,,1.71E-06,4.32E-06,17,0
1.57E-06,0.0001163,38,12,,1.67E-06,8.96E-05,37,10,,1.22E-06,4.36E-06,31,7,,2.24E-06,0.00013277,27,2,,7.42E-06,0.00015199,27,2,,1.71E-06,4.32E-06,25,0
1.57E-06,0.0001163,39,4,,1.67E-06,8.96E-05,35,6,,1.22E-06,4.36E-06,32,3,,2.26E-06,0.00013277,21,2,,7.49E-06,0.00015199,19,2,,1.73E-06,4.32E-06,15,0
1.59E-06,0.0001163,40,31,,1.69E-06,8.96E-05,36,29,,1.22E-06,4.36E-06,33,19,,2.26E-06,0.00013277,28,7,,7.49E-06,0.00015199,28,7,,1.73E-06,4.32E-06,27,0
1.59E-06,0.0001163,34,7,,1.69E-06,8.96E-05,35,10,,1.23E-06,4.36E-06,28,4,,2.26E-06,0.00013277,29,7,,7.52E-06,0.00015199,28,2,,1.74E-06,4.32E-06,24,0
1.61E-06,0.0001163,38,17,,1.69E-06,8.96E-05,36,16,,1.23E-06,4.36E-06,31,4,,2.28E-06,0.00013277,15,8,,7.52E-06,0.00015199,16,2,,1.74E-06,4.32E-06,11,0
1.61E-06,0.0001163,45,5,,1.71E-06,8.96E-05,44,5,,1.25E-06,4.36E-06,39,5,,2.28E-06,0.00013277,24,4,,7.52E-06,0.00015199,26,4,,1.74E-06,4.32E-06,23,0
1.61E-06,0.0001163,42,11,,1.71E-06,8.96E-05,42,11,,1.25E-06,4.36E-06,35,5,,2.28E-06,0.00013277,31,1,,7.54E-06,0.00015199,32,1,,1.75E-06,4.32E-06,29,0
1.63E-06,0.0001163,36,24,,1.73E-06,8.96E-05,34,24,,1.25E-06,4.36E-06,23,16,,2.30E-06,0.00013277,25,3,,7.54E-06,0.00015199,26,1,,1.75E-06,4.32E-06,21,0
1.63E-06,0.0001163,46,15,,1.73E-06,8.96E-05,47,9,,1.26E-06,4.36E-06,35,8,,2.30E-06,0.00013277,27,4,,7.56E-06,0.00015199,26,6,,1.75E-06,4.32E-06,25,0
1.65E-06,0.0001163,36,18,,1.73E-06,8.96E-05,37,16,,1.26E-06,4.36E-06,31,11,,2.32E-06,0.00013277,24,1,,7.56E-06,0.00015199,22,19,,1.77E-06,4.32E-06,18,0
1.65E-06,0.0001163,40,6,,1.75E-06,8.96E-05,42,6,,1.28E-06,4.36E-06,33,2,,2.32E-06,0.00013277,27,6,,7.56E-06,0.00015199,25,10,,1.77E-06,4.32E-06,20,0
1.65E-06,0.0001163,41,23,,1.75E-06,8.96E-05,39,25,,1.28E-06,4.36E-06,35,15,,2.32E-06,0.00013277,20,1,,7.57E-06,0.00015199,21,3,,1.78E-06,4.32E-06,20,0
1.67E-06,0.0001163,36,26,,1.76E-06,8.96E-05,35,25,,1.28E-06,4.36E-06,28,11,,2.34E-06,0.00013277,32,7,,8.82E-06,0.00015199,33,4,,1.78E-06,4.32E-06,28,0
1.67E-06,0.0001163,39,23,,1.76E-06,8.96E-05,39,21,,1.30E-06,4.36E-06,29,11,,2.34E-06,0.00013277,28,1,,9.02E-06,0.00015199,26,3,,1.78E-06,4.32E-06,22,0
1.69E-06,0.0001163,29,19,,1.76E-06,8.96E-05,30,18,,1.30E-06,4.36E-06,25,13,,2.36E-06,0.00013277,23,0,,9.02E-06,0.00015199,23,0,,1.79E-06,4.32E-06,22,0
1.69E-06,0.0001163,38,11,,1.77E-06,8.96E-05,34,8,,1.32E-06,4.36E-06,31,8,,2.36E-06,0.00013277,22,10,,9.05E-06,0.00015199,23,21,,1.79E-06,4.32E-06,18,0
1.69E-06,0.0001163,43,10,,1.77E-06,8.96E-05,42,8,,1.32E-06,4.36E-06,34,6,,2.36E-06,0.00013277,27,0,,9.05E-06,0.00015207,29,0,,1.80E-06,4.32E-06,25,0
1.70E-06,0.0001163,41,25,,1.79E-06,8.96E-05,42,21,,1.32E-06,4.36E-06,36,10,,2.37E-06,0.00013277,32,19,,9.05E-06,0.00015217,31,7,,1.80E-06,4.32E-06,29,0
1.70E-06,0.0001163,40,18,,1.79E-06,8.96E-05,38,21,,1.34E-06,4.36E-06,32,12,,2.37E-06,0.00013277,28,6,,9.08E-06,0.00015235,30,4,,1.80E-06,4.32E-06,26,0
1.72E-06,0.0001163,43,14,,1.79E-06,8.96E-05,46,15,,1.35E-06,4.36E-06,38,9,,2.38E-06,0.00013277,39,4,,9.08E-06,0.00015235,39,5,,1.81E-06,4.32E-06,36,0
1.72E-06,0.0001163,40,37,,1.81E-06,8.96E-05,41,39,,1.37E-06,4.36E-06,35,23,,2.38E-06,0.00013277,28,1,,9.08E-06,0.00015235,28,7,,1.81E-06,4.32E-06,24,0
1.72E-06,0.0001163,48,20,,1.83E-06,8.96E-05,48,18,,1.37E-06,4.36E-06,42,9,,2.38E-06,0.00013277,26,15,,9.10E-06,0.00015235,26,10,,1.83E-06,4.32E-06,25,0
1.74E-06,0.0001163,38,11,,1.85E-06,8.96E-05,42,13,,1.37E-06,4.36E-06,31,11,,2.40E-06,0.00013277,23,6,,9.10E-06,0.00015235,23,7,,1.83E-06,4.32E-06,19,3
1.74E-06,0.0001163,30,3,,1.85E-06,8.96E-05,28,3,,1.39E-06,4.36E-06,26,3,,2.40E-06,0.00013277,29,10,,9.11E-06,0.00015235,28,8,,1.83E-06,4.32E-06,26,1
1.74E-06,0.0001163,32,26,,1.85E-06,8.96E-05,33,27,,1.39E-06,4.36E-06,31,19,,2.41E-06,0.00013277,24,4,,9.11E-06,0.00015242,24,6,,1.85E-06,4.32E-06,20,0
1.76E-06,0.0001163,44,18,,1.87E-06,8.96E-05,47,17,,1.39E-06,4.36E-06,37,10,,2.41E-06,0.00013277,36,13,,9.11E-06,0.00015242,37,11,,1.85E-06,4.33E-06,35,0
1.76E-06,0.0001163,44,20,,1.87E-06,8.96E-05,46,22,,1.41E-06,4.36E-06,34,12,,2.41E-06,0.00013277,34,9,,9.12E-06,0.00015252,34,9,,1.87E-06,4.33E-06,28,1
1.77E-06,0.0001163,41,28,,1.87E-06,8.96E-05,44,33,,1.41E-06,4.36E-06,35,13,,2.43E-06,0.00013277,38,1,,9.12E-06,0.00015267,37,0,,1.87E-06,4.44E-06,32,0
1.77E-06,0.0001163,41,26,,1.90E-06,8.96E-05,41,30,,1.43E-06,4.36E-06,34,17,,2.43E-06,0.00013277,39,15,,9.13E-06,0.0001528,38,9,,1.87E-06,4.44E-06,32,0
1.77E-06,0.0001163,43,27,,1.90E-06,8.96E-05,44,17,,1.43E-06,4.36E-06,34,8,,2.43E-06,0.00013283,37,3,,9.13E-06,0.00015291,36,3,,1.88E-06,4.44E-06,31,0
1.78E-06,0.0001163,42,21,,1.92E-06,8.96E-05,43,17,,1.43E-06,4.36E-06,36,11,,2.45E-06,0.00013283,35,5,,9.13E-06,0.00015291,33,5,,1.88E-06,4.55E-06,28,5
1.78E-06,0.0001163,44,10,,1.92E-06,8.96E-05,43,10,,1.45E-06,4.36E-06,33,8,,2.45E-06,0.00013283,39,5,,9.14E-06,0.00015311,43,4,,1.88E-06,4.61E-06,36,3
1.80E-06,0.0001163,52,24,,1.92E-06,8.96E-05,52,22,,1.45E-06,4.36E-06,41,10,,2.47E-06,0.00013283,31,4,,9.65E-06,0.00015343,36,2,,1.89E-06,4.61E-06,24,0
1.80E-06,0.0001163,40,68,,1.94E-06,8.96E-05,39,53,,1.46E-06,4.36E-06,32,29,,2.47E-06,0.00013284,35,12,,9.88E-06,0.0001536,37,15,,1.89E-06,4.61E-06,31,4
1.80E-06,0.0001163,50,16,,1.94E-06,8.96E-05,49,20,,1.46E-06,4.36E-06,43,4,,2.47E-06,0.00013285,39,3,,1.00E-05,0.0001536,38,1,,1.91E-06,4.61E-06,34,0
1.82E-06,0.0001163,49,15,,1.97E-06,8.96E-05,49,14,,1.46E-06,4.36E-06,39,7,,2.49E-06,0.00013292,40,1,,1.00E-05,0.0001536,37,4,,1.91E-06,4.61E-06,33,0
1.82E-06,0.0001163,39,34,,1.97E-06,8.96E-05,44,27,,1.48E-06,4.36E-06,33,8,,2.49E-06,0.00013292,40,0,,1.01E-05,0.00015367,38,0,,1.91E-06,4.61E-06,34,0
1.83E-06,0.0001163,43,11,,1.97E-06,8.96E-05,41,14,,1.48E-06,4.36E-06,31,7,,2.50E-06,0.00013292,38,4,,1.02E-05,0.00015384,40,5,,1.93E-06,4.61E-06,30,0
1.83E-06,0.0001163,45,29,,2.00E-06,8.96E-05,43,22,,1.49E-06,4.36E-06,40,13,,2.50E-06,0.00013292,41,8,,1.02E-05,0.00015398,38,29,,1.93E-06,4.61E-06,30,0
1.83E-06,0.0001163,41,55,,2.00E-06,8.96E-05,45,31,,1.49E-06,4.36E-06,35,16,,2.50E-06,0.00013292,38,4,,1.04E-05,0.00015399,36,3,,1.95E-06,4.61E-06,30,0
1.84E-06,0.0001163,44,55,,2.02E-06,8.96E-05,45,40,,1.49E-06,4.36E-06,36,22,,2.52E-06,0.00013292,35,23,,1.05E-05,0.00015432,38,12,,1.95E-06,4.61E-06,34,1
1.84E-06,0.0001163,41,21,,2.02E-06,8.96E-05,42,18,,1.51E-06,4.36E-06,35,9,,2.52E-06,0.00013292,43,3,,1.05E-05,0.00015456,44,1,,1.95E-06,4.61E-06,32,0
1.84E-06,0.0001163,50,31,,2.02E-06,8.96E-05,48,19,,1.51E-06,4.36E-06,38,9,,2.53E-06,0.00013292,50,12,,1.05E-05,0.00015463,47,2,,1.97E-06,4.61E-06,42,1
1.86E-06,0.0001163,42,25,,2.04E-06,8.96E-05,42,29,,1.53E-06,4.36E-06,31,20,,2.53E-06,0.00013292,42,13,,1.06E-05,0.0001548,41,10,,1.97E-06,4.61E-06,38,0
1.86E-06,0.0001163,54,13,,2.04E-06,8.96E-05,51,11,,1.53E-06,4.36E-06,38,4,,2.53E-06,0.00013292,53,5,,1.06E-05,0.0001548,53,8,,1.99E-06,4.61E-06,44,2
1.87E-06,0.0001163,50,17,,2.04E-06,8.96E-05,51,15,,1.53E-06,4.36E-06,39,10,,2.55E-06,0.00013292,47,0,,1.06E-05,0.00015485,46,0,,1.99E-06,4.61E-06,39,0
1.87E-06,0.0001163,40,26,,2.06E-06,8.96E-05,42,27,,1.54E-06,4.36E-06,37,11,,2.55E-06,0.00013292,41,21,,1.06E-05,0.00015501,41,25,,2.05E-06,4.61E-06,29,12
1.87E-06,0.0001163,51,11,,2.06E-06,8.96E-05,49,13,,1.54E-06,4.36E-06,42,7,,2.57E-06,0.00013292,49,15,,1.06E-05,0.00015516,50,11,,2.06E-06,4.61E-06,42,0
1.88E-06,0.0001163,57,29,,2.08E-06,8.96E-05,56,20,,1.54E-06,4.36E-06,41,10,,2.57E-06,0.00013292,51,3,,1.06E-05,0.00015516,49,5,,2.06E-06,4.61E-06,41,0
1.88E-06,0.0001163,51,23,,2.08E-06,8.96E-05,47,20,,1.56E-06,4.36E-06,42,10,,2.57E-06,0.00013292,58,14,,1.06E-05,0.00015516,59,12,,2.06E-06,4.61E-06,50,0
1.90E-06,0.0001163,59,18,,2.08E-06,8.96E-05,60,10,,1.56E-06,4.36E-06,41,7,,2.59E-06,0.00013292,51,11,,1.06E-05,0.00015531,51,18,,2.07E-06,4.61E-06,38,4
1.90E-06,0.0001163,50,15,,2.09E-06,8.96E-05,50,14,,1.58E-06,4.36E-06,41,7,,2.59E-06,0.00013292,53,19,,1.06E-05,0.00015557,52,9,,2.07E-06,4.61E-06,43,5
1.90E-06,0.0001163,50,49,,2.09E-06,8.96E-05,53,32,,1.58E-06,4.36E-06,41,16,,2.59E-06,0.00013292,50,11,,1.06E-05,0.00015558,53,7,,2.08E-06,4.61E-06,42,1
1.92E-06,0.0001163,44,11,,2.11E-06,8.96E-05,46,17,,1.58E-06,4.36E-06,36,9,,2.61E-06,0.00013292,45,17,,1.06E-05,0.0001556,48,17,,2.08E-06,4.61E-06,41,8
1.92E-06,0.0001163,53,35,,2.11E-06,8.96E-05,50,34,,1.60E-06,4.36E-06,40,13,,2.61E-06,0.00013292,58,11,,1.06E-05,0.00015593,55,11,,2.08E-06,4.61E-06,43,3
1.94E-06,0.0001163,61,21,,2.11E-06,8.96E-05,58,20,,1.60E-06,4.36E-06,53,15,,2.63E-06,0.00013292,49,7,,1.06E-05,0.00015621,50,4,,2.09E-06,4.61E-06,30,3
1.94E-06,0.0001163,48,39,,2.54E-06,8.96E-05,47,27,,1.62E-06,4.36E-06,40,14,,2.63E-06,0.00013292,56,9,,1.06E-05,0.00015642,55,6,,2.09E-06,4.61E-06,46,1
1.94E-06,0.0001163,54,8,,2.54E-06,8.96E-05,53,6,,1.62E-06,4.36E-06,41,5,,2.63E-06,0.00013292,60,12,,1.06E-05,0.00015691,64,8,,2.09E-06,4.61E-06,48,4
1.96E-06,0.0001163,53,24,,2.56E-06,8.96E-05,57,9,,1.62E-06,4.36E-06,43,8,,2.65E-06,0.00013292,63,23,,1.06E-05,0.00015705,61,16,,2.10E-06,4.61E-06,48,4
1.96E-06,0.0001163,53,44,,2.56E-06,8.96E-05,51,34,,1.63E-06,4.36E-06,37,12,,2.65E-06,0.00013292,55,19,,1.06E-05,0.00015712,59,14,,2.10E-06,4.61E-06,41,2
1.97E-06,0.0001163,56,27,,2.56E-06,8.96E-05,52,27,,1.63E-06,4.36E-06,46,13,,2.67E-06,0.00013292,61,9,,1.07E-05,0.0001574,57,6,,2.11E-06,4.61E-06,46,0
1.97E-06,0.0001163,56,20,,2.56E-06,8.96E-05,55,17,,1.64E-06,4.36E-06,42,14,,2.67E-06,0.00013292,58,23,,1.07E-05,0.00015775,58,10,,2.12E-06,4.61E-06,42,2
1.97E-06,0.0001163,48,22,,2.56E-06,8.96E-05,51,19,,1.64E-06,4.36E-06,39,10,,2.67E-06,0.00013292,62,14,,1.07E-05,0.00015786,61,5,,2.12E-06,4.61E-06,50,2
1.98E-06,0.0001163,51,42,,2.60E-06,8.96E-05,55,37,,1.64E-06,4.36E-06,38,11,,2.69E-06,0.00013292,67,12,,1.07E-05,0.00015786,67,10,,2.13E-06,4.61E-06,53,4
1.98E-06,0.0001163,55,18,,2.97E-06,8.96E-05,50,17,,1.65E-06,4.36E-06,39,10,,2.69E-06,0.00013292,58,6,,1.07E-05,0.00015801,58,6,,2.13E-06,4.61E-06,45,6
1.98E-06,0.0001163,56,61,,2.97E-06,8.96E-05,58,20,,1.65E-06,4.36E-06,39,4,,2.71E-06,0.00013292,60,21,,1.07E-05,0.00015807,56,15,,2.14E-06,4.61E-06,45,3
2.00E-06,0.0001163,54,24,,2.97E-06,8.96E-05,57,25,,1.65E-06,4.36E-06,46,10,,2.71E-06,0.00013292,67,21,,1.07E-05,0.0001583,63,12,,2.14E-06,4.61E-06,53,6
2.00E-06,0.0001163,54,61,,2.99E-06,8.96E-05,50,51,,1.66E-06,4.36E-06,38,20,,2.71E-06,0.00013292,58,8,,1.07E-05,0.0001583,59,4,,2.14E-06,4.61E-06,41,3
2.02E-06,0.0001163,63,33,,3.13E-06,8.96E-05,61,32,,1.66E-06,4.36E-06,44,21,,2.89E-06,0.00013292,72,11,,1.07E-05,0.0001583,71,11,,2.16E-06,4.61E-06,54,5
2.02E-06,0.0001163,55,47,,3.16E-06,8.96E-05,55,44,,1.68E-06,4.36E-06,43,20,,2.98E-06,0.00013292,67,42,,1.07E-05,0.00015848,67,33,,2.16E-06,4.61E-06,56,8
2.02E-06,0.0001163,57,64,,3.16E-06,8.96E-05,57,33,,1.68E-06,4.36E-06,44,14,,3.07E-06,0.00013292,68,31,,1.07E-05,0.00015855,74,20,,2.16E-06,4.61E-06,50,9
2.04E-06,0.0001163,58,17,,3.19E-06,8.96E-05,60,26,,1.68E-06,4.36E-06,43,4,,3.10E-06,0.00013292,67,29,,1.07E-05,0.00015862,68,24,,2.19E-06,4.61E-06,53,9
2.04E-06,0.0001163,61,26,,3.19E-06,8.96E-05,58,27,,1.69E-06,4.36E-06,47,10,,3.47E-06,0.00013292,70,20,,1.07E-05,0.00015897,72,16,,2.19E-06,4.61E-06,54,3
2.06E-06,0.0001163,54,52,,3.21E-06,8.96E-05,57,37,,1.69E-06,4.36E-06,43,16,,3.47E-06,0.00013292,74,23,,1.07E-05,0.00015897,72,11,,2.20E-06,4.61E-06,50,1
2.06E-06,0.0001163,56,26,,3.21E-06,8.96E-05,54,27,,1.70E-06,4.36E-06,38,12,,3.47E-06,0.00013292,62,40,,1.07E-05,0.00015898,65,29,,2.20E-06,4.61E-06,39,8
2.06E-06,0.0001163,52,22,,3.21E-06,8.96E-05,52,29,,1.70E-06,4.36E-06,41,11,,3.49E-06,0.00013292,64,33,,1.07E-05,0.00015921,64,16,,2.20E-06,4.61E-06,40,6
2.08E-06,0.0001163,56,43,,3.23E-06,8.96E-05,52,38,,1.70E-06,4.36E-06,40,15,,3.51E-06,0.00013292,72,17,,1.07E-05,0.00015921,76,13,,2.22E-06,4.61E-06,51,3
2.08E-06,0.0001163,55,34,,3.23E-06,8.96E-05,57,40,,1.72E-06,4.36E-06,42,9,,3.53E-06,0.00013292,65,43,,1.08E-05,0.00015933,63,28,,2.22E-06,4.61E-06,45,9
2.10E-06,0.0001163,50,22,,3.25E-06,8.96E-05,47,16,,1.72E-06,4.36E-06,35,10,,3.53E-06,0.00013292,66,16,,1.08E-05,0.00015947,67,16,,2.23E-06,4.61E-06,43,10
2.10E-06,0.0001163,61,23,,3.25E-06,8.96E-05,64,30,,1.74E-06,4.36E-06,48,16,,3.53E-06,0.00013292,75,49,,1.08E-05,0.00015955,76,32,,2.23E-06,4.61E-06,51,8
2.10E-06,0.0001163,49,23,,3.25E-06,8.96E-05,51,18,,1.74E-06,4.36E-06,36,9,,3.55E-06,0.00013292,77,22,,1.08E-05,0.00015961,74,14,,2.23E-06,4.61E-06,56,6
2.12E-06,0.0001163,60,76,,3.27E-06,8.96E-05,61,23,,1.74E-06,4.36E-06,43,7,,3.55E-06,0.00013292,74,64,,1.08E-05,0.00015986,70,38,,2.25E-06,4.61E-06,52,6
2.12E-06,0.0001163,60,52,,3.27E-06,8.96E-05,63,52,,1.75E-06,4.36E-06,49,22,,3.57E-06,0.00013292,80,46,,1.08E-05,0.00015994,76,35,,2.25E-06,4.61E-06,55,10
2.14E-06,0.0001163,64,6,,3.29E-06,8.96E-05,65,7,,1.75E-06,4.36E-06,49,3,,3.57E-06,0.00013292,75,42,,1.08E-05,0.00016003,69,45,,2.25E-06,4.61E-06,49,8
2.14E-06,0.0001163,53,49,,3.29E-06,8.96E-05,52,52,,1.83E-06,4.36E-06,41,14,,3.57E-06,0.00013292,71,35,,1.08E-05,0.00016004,70,69,,2.27E-06,4.61E-06,46,7
2.14E-06,0.0001163,60,24,,3.30E-06,8.96E-05,64,31,,1.83E-06,4.36E-06,48,11,,3.59E-06,0.00013292,71,149,,1.09E-05,0.00016027,67,46,,2.27E-06,4.61E-06,49,4
2.16E-06,0.0001163,62,31,,3.32E-06,8.96E-05,55,23,,1.86E-06,4.36E-06,44,9,,3.59E-06,0.00013292,78,51,,1.09E-05,0.00016027,76,36,,2.28E-06,4.61E-06,65,7
2.16E-06,0.0001163,56,59,,3.32E-06,8.96E-05,54,40,,1.98E-06,4.36E-06,39,21,,3.61E-06,0.00013292,66,28,,1.09E-05,0.00016041,71,24,,2.28E-06,4.61E-06,52,9
2.16E-06,0.0001163,64,27,,3.34E-06,8.96E-05,64,30,,2.31E-06,4.36E-06,50,12,,3.61E-06,0.00013292,80,31,,1.09E-05,0.00016048,80,31,,2.34E-06,4.61E-06,58,5
2.18E-06,0.0001163,51,59,,3.34E-06,8.96E-05,59,29,,2.31E-06,4.36E-06,40,18,,3.61E-06,0.00013292,71,46,,1.10E-05,0.00016048,66,31,,2.36E-06,4.61E-06,44,10
2.18E-06,0.0001163,64,65,,3.34E-06,8.96E-05,62,52,,2.34E-06,4.36E-06,46,20,,3.63E-06,0.00013292,76,25,,1.10E-05,0.00016055,75,28,,2.38E-06,4.61E-06,55,3
2.19E-06,0.0001163,62,27,,3.36E-06,8.97E-05,61,19,,2.34E-06,4.36E-06,50,9,,3.63E-06,0.00013292,79,183,,1.11E-05,0.00016055,82,35,,2.38E-06,4.61E-06,64,10
2.19E-06,0.0001163,61,58,,3.40E-06,8.97E-05,64,35,,2.36E-06,4.36E-06,49,24,,3.64E-06,0.00013292,70,40,,1.11E-05,0.00016068,73,25,,2.41E-06,4.61E-06,48,6
2.19E-06,0.0001163,58,43,,3.40E-06,8.98E-05,64,32,,2.36E-06,4.36E-06,46,14,,3.66E-06,0.00013292,84,122,,1.12E-05,0.00016075,85,26,,2.41E-06,4.61E-06,61,8
2.21E-06,0.0001163,63,38,,3.43E-06,8.98E-05,61,31,,2.36E-06,4.36E-06,48,16,,3.69E-06,0.00013292,78,27,,1.12E-05,0.00016082,75,15,,2.41E-06,4.61E-06,53,3
2.21E-06,0.0001163,64,9,,3.43E-06,8.98E-05,63,15,,2.38E-06,4.36E-06,43,2,,3.72E-06,0.00013292,76,54,,1.13E-05,0.00016094,74,78,,2.43E-06,4.61E-06,52,21
2.23E-06,0.0001163,65,37,,3.43E-06,8.98E-05,66,24,,2.38E-06,4.36E-06,53,14,,3.72E-06,0.00013294,73,287,,1.13E-05,0.00016103,74,24,,2.43E-06,4.61E-06,44,1
